Product,Category
dasani water still - 500ml,DRINKING WATER 
dasani sparkling water - 500ml,DRINKING WATER 
schweppes tonic water - 600ml,SODA
coke - 600ml,SODA
castle lite 330ml  (non returnable bottle),BEER 
kilimanjaro premium lager - 330ml (can),BEER 
ice cubes - 1kg,ICE CUBE 
kilimanjaro premium lager - 370ml (non-returnable bottle),BEER 
bag fee,BAG FEE 
fanta orange - 300ml,SODA
jibu water - 13l bottle,DRINKING WATER 
kisima water - 20l (returnable bottles),DRINKING WATER 
marlboro gold - 1 pack,CIGARETTE
safari premium lager - 370ml  (non returnable bottle),BEER 
coke - 300ml,SODA
schweppes soda water - 600ml,SODA
castle lager - 375ml,BEER 
embassy king  - 1 pack,CIGARETTE
sprite - 600ml,SODA
coke - 1.25l,SODA
sprite - 300ml,SODA
savanna dry premium cider - 330ml,BEER 
camel light - 1 pack,CIGARETTE
heineken 330ml bottle (non returnable bottle),BEER 
kisima water - 16l (non-returnable bottles),DRINKING WATER 
camel white - 1 pack,CIGARETTE
crafty dee's india pale ale - 250ml,BEER 
embassy double click - 1 pack,CIGARETTE
flying fish lemon flavoured beer,BEER 
crafty dee's  wheat beer - 250ml,BEER 
brutal fruit ruby apple sparkling,BEER 
pepsi diet - 600ml,SODA
corona extra,BEER 
kilimanjaro drinking water - 0.5l,DRINKING WATER 
konyagi - 750ml,LOCAL SPIRITS 
fanta orange - 600ml,SODA
serengeti premium lager 330ml,BEER 
puffito snacks corn tomato - 14g,SNACKS 
cool blue 0.5l - (12 bottles in carton),DRINKING WATER 
smirnoff orange - 750ml,WHISKY 
kilimanjaro drinking water - 1.5l,DRINKING WATER 
white cap crisp - 330ml (can),BEER 
konyagi - 200ml,LOCAL SPIRITS 
fanta orange - 1.25l,SODA
pepsi regular - 600ml,SODA
fanta passion - 600ml,SODA
sayona tunda mango - 300ml,JUICE 
fanta pineapple - 600ml,SODA
cool blue - 20l (returnable bottle),DRINKING WATER 
smirnoff ice guarana - 300ml,BEER 
cool blue - 15l (non-returnable bottle),DRINKING WATER 
stoney tangawizi - 600ml,SODA
k-vant - 750ml,LOCAL SPIRITS 
jibu water - 20l dispenser,DRINKING WATER 
african fruit - tropical azam 1l,JUICE 
mirinda fruity - 600ml,SODA
smirnoff ice black - 300ml,BEER 
serengeti premium lite - 330ml,BEER 
ceres apple 1l,JUICE 
kiprinski vodka - 1 l,VODKA 
sprite - 1.25l,SODA
switch immune booster - lemon & ginger  vita 500mls,ENERGY DRINK 
red bull,ENERGY DRINK 
kilimanjaro drinking water - 0.5l (per carton),DRINKING WATER 
spier discover collection - chenin blanc | sauvignon blanc (750 ml),WHITE WINE 
sayona tunda mango - 600ml,JUICE 
black & white scotch whisky - 750ml,WHISKY 
cheche nyanya flavor - 110g,SNACKS 
smirnoff ice pineapple - 300ml,BEER 
grant's triple wood blended scotch whisky - 750ml,WHISKY 
jibu water - 20l bottle with tap returnable,DRINKING WATER 
ceres orange 1l,JUICE 
kiscafe kahawa - 50g,COFFEE
mirinda fruity - 2ltr,SODA
franco's dry red - 750ml,RED WINE
cool blue - 1.5l (6 bottles in carton),DRINKING WATER 
kilimanjaro drinking water - 1.5l (per carton),DRINKING WATER 
"freshy 10,000 apple peach ice",VAPES 
alfa drinking water - 18.9l,DRINKING WATER 
cheche pilipili tamu flavor - 32g,SNACKS 
marlboro red - 1 pack,CIGARETTE
black & white scotch whisky - 200ml,WHISKY 
cheche pilipili tamu flavor - 110g,SNACKS 
serengeti premium lemon - 330ml,BEER 
pepsi - 2ltr,SODA
jinro grapefruit soju - 360ml,SOJU
lions hill dry white (750ml),WHITE WINE 
pearly bay cape sweet red (750ml),RED WINE
african fruit - mango 1l,JUICE 
absolut blue vodka - 0.75l,VODKA 
marlboro gold - 10 packs,CIGARETTE
serengeti cab sauv/merlot (750ml),RED WINE
gilbey’s london dry gin - 750ml,GIN 
jinro green grape soju - 360ml,SOJU
african fruit - pineapple 1l,JUICE 
pepsi - 300ml (cans),SODA
serengeti chenin/sauv blanc (750ml),WHITE WINE 
soju triple thrill,SOJU
lion's hill sweet red (750ml),RED WINE
lion's hill dry red (750ml),RED WINE
7up can - 300ml,SODA
freshy 7000 supreme mint ice,VAPES 
spier signature chardonnay (750ml),WHITE WINE 
jägermeister (700ml),LIQUEUR 
spier signature chenin blanc (750ml),WHITE WINE 
"16,000 puffs strawberry banana",VAPES 
freshy 1500 mint ice,VAPES 
freshy 1500 apple peach ice,VAPES 
ballantine finest whisky - 750ml,WHISKY 
franco's sweet rosé - 750ml,ROSE WINE
sayona frutties mango - 1l,JUICE 
embassy light - 1 pack,CIGARETTE
cheche nyama choma - 32g,SNACKS 
african fruit - orange 1l,JUICE 
windhoek premium lager,BEER 
velo berry frost (5 dots)- nicotine pouches,VAPES 
kwv vinecrafter sauvignon blanc - 750ml,WHITE WINE 
mountain dew - 600ml,SODA
cafe bora instant coffee sachets (1.6g),COFFEE
spier discover pinotage/shiraz (750ml),RED WINE
bongo don - 200ml,LOCAL SPIRITS 
four cousins sweet white (750ml),WHITE WINE 
baron d'arignac medium sweet red (750ml),RED WINE
jack daniel's honey 35%  (350ml),WHISKY 
ceres 100% juice kiwi and cranberry - 1l,JUICE 
provetto brut sparkling rosé (750ml),SPARKLING 
cheche jibini na kitunguu flavor - 32g,SNACKS 
"freshy 10,000 grape ice",VAPES 
fiesta ultra-thin,CARE PLUS
kwv classic pinotage (750ml),RED WINE
"freshy 10,000 blue razz ice",VAPES 
jameson irish whiskey -  0.75 l,WHISKY 
sir edwards whisky (200ml),WHISKY 
cheche chumvi flavor - 110g,SNACKS 
brutal sparkling strawberry - 275ml,BEER 
freshy 1500 strawberry ice,VAPES 
jack daniel's old no 7 40% (200ml),WHISKY 
dew drop premium 1l,DRINKING WATER 
cheche jibini na kitunguu flavor - 110g,SNACKS 
johnnie walker red label - 750ml,WHISKY 
jack daniel's old no 7 40% (350ml),WHISKY 
landskroon bush camp our daily red (750ml),RED WINE
sayona frutties tropical - 1l,JUICE 
k-vant 200ml,LOCAL SPIRITS 
african fruit - apple 1l,JUICE 
bonne esperance select white (750ml),WHITE WINE 
bonne esperance sweet red (750ml),RED WINE
safari premium lager - 330ml (can),BEER 
sayona tunda tropical - 300ml,JUICE 
serengeti collection chenin blanc (750ml),WHITE WINE 
cafe bora instant coffee tins (50g),COFFEE
calvet chardonnay - 750ml,WHITE WINE 
fiesta max dotted,CARE PLUS
kilimanjaro light - 330ml,BEER 
crafty dee's blonde ale - 250ml,BEER 
provetto brut sparkling white (750ml),SPARKLING 
desperados original beer - 330ml,BEER 
freixenet cordon negro brut (750ml),SPARKLING 
bonne esperance natural sweet rosé (750ml),ROSE WINE
ceres tropical blast - 1l,JUICE 
brutal sparkling strawberry - 6pc,BEER 
cheche nyama choma flavor - 110g,SNACKS 
gordon's london dry - 750ml,GIN 
spier signature chardonnay/pinot noir (750ml),ROSE WINE
jack daniel's old no 7 nrf 40% (700ml),WHISKY 
freshy 7000 mixed berry ice,VAPES 
kwv vinecrafter chenin blanc - 750ml,WHITE WINE 
velo freezing peppermint (6 dots)- nicotine pouches,VAPES 
freixenet ice (750ml),SPARKLING 
kwv classic shiraz (750ml),RED WINE
"freshy 10,000 extreme mint ice",VAPES 
